brand,model,repair_type,parts_cost,labour_cost,,,,,,
APPLE,IPHONE 8 / PLUS /SE2/SE3,DISPLAY,200,150,,,,,,
APPLE,IPHONE 8 / PLUS /SE2/SE4,BATERIE,100,150,,,,,,
APPLE,IPHONE 8 / PLUS /SE2/SE5,CARCASA,200,150,,,,,,
APPLE,IPHONE 8 / PLUS /SE2/SE6,MUFA DE INCARCARE,100,150,,,,,,
APPLE,IPHONE 8 / PLUS /SE2/SE7,DIFUZOR,100,150,,,,,,
APPLE,IPHONE X / XS,DISPLAY,300,200,,,,,,
APPLE,IPHONE X / XS,BATERIE,100,200,,,,,,
APPLE,IPHONE X / XS,CARCASA,250,200,,,,,,
APPLE,IPHONE X / XS,MUFA DE INCARCARE,100,200,,,,,,
APPLE,IPHONE X / XS,DIFUZOR,100,200,,,,,,
APPLE,IPHONE XS MAX,DISPLAY,400,200,,,,,,
APPLE,IPHONE XS MAX,BATERIE,100,200,,,,,,
APPLE,IPHONE XS MAX,CARCASA,250,200,,,,,,
APPLE,IPHONE XS MAX,MUFA DE INCARCARE,100,200,,,,,,
APPLE,IPHONE XS MAX,DIFUZOR,100,200,,,,,,
APPLE,IPHONE 11,DISPLAY,300,200,,,,,,
APPLE,IPHONE 11,BATERIE,100,200,,,,,,
APPLE,IPHONE 11,CARCASA,300,200,,,,,,
APPLE,IPHONE 11,MUFA DE INCARCARE,100,250,,,,,,
APPLE,IPHONE 11,DIFUZOR,100,250,,,,,,
APPLE,IPHONE 11 PRO,DISPLAY,400,200,,,,,,
APPLE,IPHONE 11 PRO,BATERIE,100,250,,,,,,
APPLE,IPHONE 11 PRO,CARCASA,250,250,,,,,,
APPLE,IPHONE 11 PRO,MUFA DE INCARCARE,100,250,,,,,,
APPLE,IPHONE 11 PRO,DIFUZOR,100,250,,,,,,
APPLE,IPHONE 11 PRO MAX,DISPLAY,450,200,,,,,,
APPLE,IPHONE 11 PRO MAX,BATERIE,100,250,,,,,,
APPLE,IPHONE 11 PRO MAX,CARCASA,250,250,,,,,,
APPLE,IPHONE 11 PRO MAX,MUFA DE INCARCARE,100,250,,,,,,
APPLE,IPHONE 11 PRO MAX,DIFUZOR,100,250,,,,,,
APPLE,IPHONE 12,DISPLAY,500,250,,,,,,
APPLE,IPHONE 12,BATERIE,400,250,,,,,,
APPLE,IPHONE 12,CARCASA,400,250,,,,,,
APPLE,IPHONE 12,MUFA DE INCARCARE,100,250,,,,,,
APPLE,IPHONE 12,DIFUZOR,100,250,,,,,,
APPLE,IPHONE 12 PRO,DISPLAY,500,250,,,,,,
APPLE,IPHONE 12 PRO,BATERIE,400,250,,,,,,
APPLE,IPHONE 12 PRO,CARCASA,400,250,,,,,,
APPLE,IPHONE 12 PRO,MUFA DE INCARCARE,100,250,,,,,,
APPLE,IPHONE 12 PRO,DIFUZOR,100,250,,,,,,
APPLE,IPHONE 12 PRO MAX,DISPLAY,700,250,,,,,,
APPLE,IPHONE 12 PRO MAX,BATERIE,400,250,,,,,,
APPLE,IPHONE 12 PRO MAX,CARCASA,500,250,,,,,,
APPLE,IPHONE 12 PRO MAX,MUFA DE INCARCARE,100,250,,,,,,
APPLE,IPHONE 12 PRO MAX,DIFUZOR,100,250,,,,,,
APPLE,IPHONE 13,DISPLAY,500,250,,,,,,
APPLE,IPHONE 13,BATERIE,400,250,,,,,,
APPLE,IPHONE 13,CARCASA,400,250,,,,,,
APPLE,IPHONE 13,MUFA DE INCARCARE,100,250,,,,,,
APPLE,IPHONE 13,DIFUZOR,100,250,,,,,,
APPLE,IPHONE 13 PRO,DISPLAY,700,250,,,,,,
APPLE,IPHONE 13 PRO,BATERIE,400,250,,,,,,
APPLE,IPHONE 13 PRO,CARCASA,500,250,,,,,,
APPLE,IPHONE 13 PRO,MUFA DE INCARCARE,100,250,,,,,,
APPLE,IPHONE 13 PRO,DIFUZOR,100,250,,,,,,
APPLE,IPHONE 13 PRO MAX,DISPLAY,1000,250,,,,,,
APPLE,IPHONE 13 PRO MAX,BATERIE,400,250,,,,,,
APPLE,IPHONE 13 PRO MAX,CARCASA,600,250,,,,,,
APPLE,IPHONE 13 PRO MAX,MUFA DE INCARCARE,100,250,,,,,,
APPLE,IPHONE 13 PRO MAX,DIFUZOR,100,250,,,,,,
APPLE,IPHONE 14,DISPLAY,600,250,,,,,,
APPLE,IPHONE 14,BATERIE,400,250,,,,,,
APPLE,IPHONE 14,CARCASA,500,250,,,,,,
APPLE,IPHONE 14,MUFA DE INCARCARE,100,250,,,,,,
APPLE,IPHONE 14,DIFUZOR,100,250,,,,,,
APPLE,IPHONE 14 PLUS,DISPLAY,700,250,,,,,,
APPLE,IPHONE 14 PLUS,BATERIE,400,250,,,,,,
APPLE,IPHONE 14 PLUS,CARCASA,500,250,,,,,,
APPLE,IPHONE 14 PLUS,MUFA DE INCARCARE,100,250,,,,,,
APPLE,IPHONE 14 PLUS,DIFUZOR,100,250,,,,,,
APPLE,IPHONE 14 PRO,DISPLAY,900,250,,,,,,
APPLE,IPHONE 14 PRO,BATERIE,400,250,,,,,,
APPLE,IPHONE 14 PRO,CARCASA,600,250,,,,,,
APPLE,IPHONE 14 PRO,MUFA DE INCARCARE,100,250,,,,,,
APPLE,IPHONE 14 PRO,DIFUZOR,100,250,,,,,,
APPLE,IPHONE 14 PRO MAX,DISPLAY,1500,250,,,,,,
APPLE,IPHONE 14 PRO MAX,BATERIE,400,450,,,,,,
